Admission_Date,Hospitalizations,Hospitalization_Rate,hosp_7,hosp_14
02/01/2020,1,0.04,1.0,1.0
02/02/2020,0,0,0.5,0.5
02/03/2020,0,0,0.3333333333333333,0.3333333333333333
02/04/2020,0,0,0.25,0.25
02/05/2020,0,0,0.2,0.2
02/06/2020,0,0,0.16666666666666666,0.16666666666666666
02/07/2020,0,0,0.14285714285714285,0.14285714285714285
02/08/2020,2,0.09,0.375,0.375
02/09/2020,0,0,0.3333333333333333,0.3333333333333333
02/10/2020,0,0,0.3,0.3
02/11/2020,3,0.13,0.5454545454545454,0.5454545454545454
02/12/2020,1,0.04,0.5833333333333334,0.5833333333333334
02/13/2020,0,0,0.5384615384615384,0.5384615384615384
02/14/2020,0,0,0.5,0.5
02/15/2020,2,0.09,0.5714285714285714,0.5714285714285714
02/16/2020,0,0,0.5714285714285714,0.5714285714285714
02/17/2020,1,0.04,0.6428571428571429,0.6428571428571429
02/18/2020,1,0.04,0.7142857142857143,0.7142857142857143
02/19/2020,3,0.13,0.9285714285714286,0.9285714285714286
02/20/2020,3,0.13,1.1428571428571428,1.1428571428571428
02/21/2020,4,0.18,1.4285714285714286,1.4285714285714286
02/22/2020,4,0.18,1.5714285714285714,1.5714285714285714
02/23/2020,2,0.09,1.7142857142857142,1.7142857142857142
02/24/2020,5,0.22,2.0714285714285716,2.0714285714285716
02/25/2020,1,0.04,1.9285714285714286,1.9285714285714286
02/26/2020,1,0.04,1.9285714285714286,1.9285714285714286
02/27/2020,10,0.44,2.642857142857143,2.642857142857143
02/28/2020,7,0.31,3.142857142857143,3.142857142857143
02/29/2020,4,0.18,3.2857142857142856,3.2857142857142856
03/01/2020,4,0.18,3.5714285714285716,3.5714285714285716
03/02/2020,14,0.62,4.5,4.5
03/03/2020,12,0.53,5.285714285714286,5.285714285714286
03/04/2020,10,0.44,5.785714285714286,5.785714285714286
03/05/2020,21,0.93,7.071428571428571,7.071428571428571
03/06/2020,15,0.66,7.857142857142857,7.857142857142857
03/07/2020,11,0.49,8.357142857142858,8.357142857142858
03/08/2020,14,0.62,9.214285714285714,9.214285714285714
03/09/2020,14,0.62,9.857142857142858,9.857142857142858
03/10/2020,19,0.84,11.142857142857142,11.142857142857142
03/11/2020,16,0.71,12.214285714285714,12.214285714285714
03/12/2020,26,1.15,13.357142857142858,13.357142857142858
03/13/2020,13,0.58,13.785714285714286,13.785714285714286
03/14/2020,16,0.71,14.642857142857142,14.642857142857142
03/15/2020,13,0.58,15.285714285714286,15.285714285714286
03/16/2020,24,1.06,16.0,16.0
03/17/2020,18,0.8,16.428571428571427,16.428571428571427
03/18/2020,13,0.58,16.642857142857142,16.642857142857142
03/19/2020,26,1.15,17.0,17.0
03/20/2020,22,0.97,17.5,17.5
03/21/2020,23,1.02,18.357142857142858,18.357142857142858
03/22/2020,21,0.93,18.857142857142858,18.857142857142858
03/23/2020,43,1.9,20.928571428571427,20.928571428571427
03/24/2020,25,1.11,21.357142857142858,21.357142857142858
03/25/2020,33,1.46,22.571428571428573,22.571428571428573
03/26/2020,28,1.24,22.714285714285715,22.714285714285715
03/27/2020,34,1.5,24.214285714285715,24.214285714285715
03/28/2020,40,1.77,25.928571428571427,25.928571428571427
03/29/2020,38,1.68,27.714285714285715,27.714285714285715
03/30/2020,38,1.68,28.714285714285715,28.714285714285715
03/31/2020,37,1.64,30.071428571428573,30.071428571428573
04/01/2020,38,1.68,31.857142857142858,31.857142857142858
04/02/2020,40,1.77,32.857142857142854,32.857142857142854
04/03/2020,46,2.03,34.57142857142857,34.57142857142857
04/04/2020,26,1.15,34.785714285714285,34.785714285714285
04/05/2020,32,1.42,35.57142857142857,35.57142857142857
04/06/2020,24,1.06,34.214285714285715,34.214285714285715
04/07/2020,30,1.33,34.57142857142857,34.57142857142857
04/08/2020,22,0.97,33.785714285714285,33.785714285714285
04/09/2020,30,1.33,33.92857142857143,33.92857142857143
04/10/2020,31,1.37,33.714285714285715,33.714285714285715
04/11/2020,24,1.06,32.57142857142857,32.57142857142857
04/12/2020,17,0.75,31.071428571428573,31.071428571428573
04/13/2020,16,0.71,29.5,29.5
04/14/2020,19,0.84,28.214285714285715,28.214285714285715
04/15/2020,22,0.97,27.071428571428573,27.071428571428573
04/16/2020,25,1.11,26.0,26.0
04/17/2020,23,1.02,24.357142857142858,24.357142857142858
04/18/2020,20,0.88,23.928571428571427,23.928571428571427
04/19/2020,20,0.88,23.071428571428573,23.071428571428573
04/20/2020,17,0.75,22.571428571428573,22.571428571428573
04/21/2020,22,0.97,22.0,22.0
04/22/2020,20,0.88,21.857142857142858,21.857142857142858
04/23/2020,13,0.58,20.642857142857142,20.642857142857142
04/24/2020,13,0.58,19.357142857142858,19.357142857142858
04/25/2020,17,0.75,18.857142857142858,18.857142857142858
04/26/2020,15,0.66,18.714285714285715,18.714285714285715
04/27/2020,6,0.27,18.0,18.0
04/28/2020,16,0.71,17.785714285714285,17.785714285714285
04/29/2020,14,0.62,17.214285714285715,17.214285714285715
04/30/2020,6,0.27,15.857142857142858,15.857142857142858
05/01/2020,9,0.4,14.857142857142858,14.857142857142858
05/02/2020,16,0.71,14.571428571428571,14.571428571428571
05/03/2020,6,0.27,13.571428571428571,13.571428571428571
05/04/2020,12,0.53,13.214285714285714,13.214285714285714
05/05/2020,10,0.44,12.357142857142858,12.357142857142858
05/06/2020,10,0.44,11.642857142857142,11.642857142857142
05/07/2020,7,0.31,11.214285714285714,11.214285714285714
05/08/2020,10,0.44,11.0,11.0
05/09/2020,8,0.35,10.357142857142858,10.357142857142858
05/10/2020,12,0.53,10.142857142857142,10.142857142857142
05/11/2020,10,0.44,10.428571428571429,10.428571428571429
05/12/2020,9,0.4,9.928571428571429,9.928571428571429
05/13/2020,7,0.31,9.428571428571429,9.428571428571429
05/14/2020,9,0.4,9.642857142857142,9.642857142857142
05/15/2020,5,0.22,9.357142857142858,9.357142857142858
05/16/2020,5,0.22,8.571428571428571,8.571428571428571
05/17/2020,3,0.13,8.357142857142858,8.357142857142858
05/18/2020,8,0.35,8.071428571428571,8.071428571428571
05/19/2020,9,0.4,8.0,8.0
05/20/2020,10,0.44,8.0,8.0
05/21/2020,5,0.22,7.857142857142857,7.857142857142857
05/22/2020,10,0.44,7.857142857142857,7.857142857142857
05/23/2020,8,0.35,7.857142857142857,7.857142857142857
05/24/2020,7,0.31,7.5,7.5
05/25/2020,7,0.31,7.285714285714286,7.285714285714286
05/26/2020,3,0.13,6.857142857142857,6.857142857142857
05/27/2020,7,0.31,6.857142857142857,6.857142857142857
05/28/2020,3,0.13,6.428571428571429,6.428571428571429
05/29/2020,9,0.4,6.714285714285714,6.714285714285714
05/30/2020,3,0.13,6.571428571428571,6.571428571428571
05/31/2020,6,0.27,6.785714285714286,6.785714285714286
06/01/2020,6,0.27,6.642857142857143,6.642857142857143
06/02/2020,2,0.09,6.142857142857143,6.142857142857143
06/03/2020,3,0.13,5.642857142857143,5.642857142857143
06/04/2020,2,0.09,5.428571428571429,5.428571428571429
06/05/2020,6,0.27,5.142857142857143,5.142857142857143
06/06/2020,3,0.13,4.785714285714286,4.785714285714286
06/07/2020,5,0.22,4.642857142857143,4.642857142857143
06/08/2020,5,0.22,4.5,4.5
06/09/2020,3,0.13,4.5,4.5
06/10/2020,7,0.31,4.5,4.5
06/11/2020,2,0.09,4.428571428571429,4.428571428571429
06/12/2020,0,0,3.7857142857142856,3.7857142857142856
06/13/2020,3,0.13,3.7857142857142856,3.7857142857142856
06/14/2020,3,0.13,3.5714285714285716,3.5714285714285716
06/15/2020,7,0.31,3.642857142857143,3.642857142857143
06/16/2020,4,0.18,3.7857142857142856,3.7857142857142856
06/17/2020,4,0.18,3.857142857142857,3.857142857142857
06/18/2020,3,0.13,3.9285714285714284,3.9285714285714284
06/19/2020,5,0.22,3.857142857142857,3.857142857142857
06/20/2020,6,0.27,4.071428571428571,4.071428571428571
06/21/2020,4,0.18,4.0,4.0
06/22/2020,6,0.27,4.071428571428571,4.071428571428571
06/23/2020,8,0.35,4.428571428571429,4.428571428571429
06/24/2020,6,0.27,4.357142857142857,4.357142857142857
06/25/2020,9,0.4,4.857142857142857,4.857142857142857
06/26/2020,4,0.18,5.142857142857143,5.142857142857143
06/27/2020,12,0.53,5.785714285714286,5.785714285714286
06/28/2020,11,0.49,6.357142857142857,6.357142857142857
06/29/2020,5,0.22,6.214285714285714,6.214285714285714
06/30/2020,4,0.18,6.214285714285714,6.214285714285714
07/01/2020,3,0.13,6.142857142857143,6.142857142857143
07/02/2020,5,0.22,6.285714285714286,6.285714285714286
07/03/2020,7,0.31,6.428571428571429,6.428571428571429
07/04/2020,5,0.22,6.357142857142857,6.357142857142857
07/05/2020,5,0.22,6.428571428571429,6.428571428571429
07/06/2020,9,0.4,6.642857142857143,6.642857142857143
07/07/2020,12,0.53,6.928571428571429,6.928571428571429
07/08/2020,9,0.4,7.142857142857143,7.142857142857143
07/09/2020,6,0.27,6.928571428571429,6.928571428571429
07/10/2020,7,0.31,7.142857142857143,7.142857142857143
07/11/2020,11,0.49,7.071428571428571,7.071428571428571
07/12/2020,8,0.35,6.857142857142857,6.857142857142857
07/13/2020,9,0.4,7.142857142857143,7.142857142857143
07/14/2020,15,0.66,7.928571428571429,7.928571428571429
07/15/2020,6,0.27,8.142857142857142,8.142857142857142
07/16/2020,6,0.27,8.214285714285714,8.214285714285714
07/17/2020,8,0.35,8.285714285714286,8.285714285714286
07/18/2020,8,0.35,8.5,8.5
07/19/2020,10,0.44,8.857142857142858,8.857142857142858
07/20/2020,8,0.35,8.785714285714286,8.785714285714286
07/21/2020,6,0.27,8.357142857142858,8.357142857142858
07/22/2020,9,0.4,8.357142857142858,8.357142857142858
07/23/2020,4,0.18,8.214285714285714,8.214285714285714
07/24/2020,9,0.4,8.357142857142858,8.357142857142858
07/25/2020,6,0.27,8.0,8.0
07/26/2020,10,0.44,8.142857142857142,8.142857142857142
07/27/2020,11,0.49,8.285714285714286,8.285714285714286
07/28/2020,9,0.4,7.857142857142857,7.857142857142857
07/29/2020,11,0.49,8.214285714285714,8.214285714285714
07/30/2020,12,0.53,8.642857142857142,8.642857142857142
07/31/2020,13,0.58,9.0,9.0
08/01/2020,10,0.44,9.142857142857142,9.142857142857142
08/02/2020,6,0.27,8.857142857142858,8.857142857142858
08/03/2020,8,0.35,8.857142857142858,8.857142857142858
08/04/2020,13,0.58,9.357142857142858,9.357142857142858
08/05/2020,6,0.27,9.142857142857142,9.142857142857142
08/06/2020,10,0.44,9.571428571428571,9.571428571428571
08/07/2020,7,0.31,9.428571428571429,9.428571428571429
08/08/2020,7,0.31,9.5,9.5
08/09/2020,5,0.22,9.142857142857142,9.142857142857142
08/10/2020,11,0.49,9.142857142857142,9.142857142857142
08/11/2020,6,0.27,8.928571428571429,8.928571428571429
08/12/2020,7,0.31,8.642857142857142,8.642857142857142
08/13/2020,10,0.44,8.5,8.5
08/14/2020,11,0.49,8.357142857142858,8.357142857142858
08/15/2020,8,0.35,8.214285714285714,8.214285714285714
08/16/2020,7,0.31,8.285714285714286,8.285714285714286
08/17/2020,9,0.4,8.357142857142858,8.357142857142858
08/18/2020,9,0.4,8.071428571428571,8.071428571428571
08/19/2020,12,0.53,8.5,8.5
08/20/2020,10,0.44,8.5,8.5
08/21/2020,6,0.27,8.428571428571429,8.428571428571429
08/22/2020,3,0.13,8.142857142857142,8.142857142857142
08/23/2020,8,0.35,8.357142857142858,8.357142857142858
08/24/2020,10,0.44,8.285714285714286,8.285714285714286
08/25/2020,5,0.22,8.214285714285714,8.214285714285714
08/26/2020,2,0.09,7.857142857142857,7.857142857142857
08/27/2020,5,0.22,7.5,7.5
08/28/2020,2,0.09,6.857142857142857,6.857142857142857
08/29/2020,1,0.04,6.357142857142857,6.357142857142857
08/30/2020,3,0.13,6.071428571428571,6.071428571428571
08/31/2020,9,0.4,6.071428571428571,6.071428571428571
09/01/2020,9,0.4,6.071428571428571,6.071428571428571
09/02/2020,10,0.44,5.928571428571429,5.928571428571429
09/03/2020,6,0.27,5.642857142857143,5.642857142857143
09/04/2020,6,0.27,5.642857142857143,5.642857142857143
09/05/2020,6,0.27,5.857142857142857,5.857142857142857
09/06/2020,5,0.22,5.642857142857143,5.642857142857143
09/07/2020,2,0.09,5.071428571428571,5.071428571428571
09/08/2020,3,0.13,4.928571428571429,4.928571428571429
09/09/2020,5,0.22,5.142857142857143,5.142857142857143
09/10/2020,4,0.18,5.071428571428571,5.071428571428571
09/11/2020,4,0.18,5.214285714285714,5.214285714285714
09/12/2020,3,0.13,5.357142857142857,5.357142857142857
09/13/2020,0,0,5.142857142857143,5.142857142857143
09/14/2020,4,0.18,4.785714285714286,4.785714285714286
09/15/2020,2,0.09,4.285714285714286,4.285714285714286
09/16/2020,5,0.22,3.9285714285714284,3.9285714285714284
09/17/2020,2,0.09,3.642857142857143,3.642857142857143
09/18/2020,3,0.13,3.4285714285714284,3.4285714285714284
09/19/2020,5,0.22,3.357142857142857,3.357142857142857
09/20/2020,5,0.22,3.357142857142857,3.357142857142857
09/21/2020,9,0.4,3.857142857142857,3.857142857142857
09/22/2020,7,0.31,4.142857142857143,4.142857142857143
09/23/2020,2,0.09,3.9285714285714284,3.9285714285714284
09/24/2020,12,0.53,4.5,4.5
09/25/2020,7,0.31,4.714285714285714,4.714285714285714
09/26/2020,1,0.04,4.571428571428571,4.571428571428571
09/27/2020,6,0.27,5.0,5.0
09/28/2020,3,0.13,4.928571428571429,4.928571428571429
09/29/2020,6,0.27,5.214285714285714,5.214285714285714
09/30/2020,6,0.27,5.285714285714286,5.285714285714286
10/01/2020,10,0.44,5.857142857142857,5.857142857142857
10/02/2020,3,0.13,5.857142857142857,5.857142857142857
10/03/2020,6,0.27,5.928571428571429,5.928571428571429
10/04/2020,6,0.27,6.0,6.0
10/05/2020,8,0.35,5.928571428571429,5.928571428571429
10/06/2020,11,0.49,6.214285714285714,6.214285714285714
10/07/2020,7,0.31,6.571428571428571,6.571428571428571
10/08/2020,5,0.22,6.071428571428571,6.071428571428571
10/09/2020,3,0.13,5.785714285714286,5.785714285714286
10/10/2020,10,0.44,6.428571428571429,6.428571428571429
10/11/2020,4,0.18,6.285714285714286,6.285714285714286
10/12/2020,5,0.22,6.428571428571429,6.428571428571429
10/13/2020,6,0.27,6.428571428571429,6.428571428571429
10/14/2020,12,0.53,6.857142857142857,6.857142857142857
10/15/2020,7,0.31,6.642857142857143,6.642857142857143
10/16/2020,12,0.53,7.285714285714286,7.285714285714286
10/17/2020,5,0.22,7.214285714285714,7.214285714285714
10/18/2020,7,0.31,7.285714285714286,7.285714285714286
10/19/2020,11,0.49,7.5,7.5
10/20/2020,12,0.53,7.571428571428571,7.571428571428571
10/21/2020,4,0.18,7.357142857142857,7.357142857142857
10/22/2020,8,0.35,7.571428571428571,7.571428571428571
10/23/2020,12,0.53,8.214285714285714,8.214285714285714
10/24/2020,3,0.13,7.714285714285714,7.714285714285714
10/25/2020,2,0.09,7.571428571428571,7.571428571428571
10/26/2020,8,0.35,7.785714285714286,7.785714285714286
10/27/2020,10,0.44,8.071428571428571,8.071428571428571
10/28/2020,7,0.31,7.714285714285714,7.714285714285714
10/29/2020,15,0.66,8.285714285714286,8.285714285714286
10/30/2020,8,0.35,8.0,8.0
10/31/2020,7,0.31,8.142857142857142,8.142857142857142
11/01/2020,9,0.4,8.285714285714286,8.285714285714286
11/02/2020,12,0.53,8.357142857142858,8.357142857142858
11/03/2020,12,0.53,8.357142857142858,8.357142857142858
11/04/2020,13,0.58,9.0,9.0
11/05/2020,12,0.53,9.285714285714286,9.285714285714286
11/06/2020,22,0.97,10.0,10.0
11/07/2020,24,1.06,11.5,11.5
11/08/2020,23,1.02,13.0,13.0
11/09/2020,27,1.19,14.357142857142858,14.357142857142858
11/10/2020,18,0.8,14.928571428571429,14.928571428571429
11/11/2020,22,0.97,16.0,16.0
11/12/2020,17,0.75,16.142857142857142,16.142857142857142
11/13/2020,33,1.46,17.928571428571427,17.928571428571427
11/14/2020,29,1.28,19.5,19.5
11/15/2020,25,1.11,20.642857142857142,20.642857142857142
11/16/2020,29,1.28,21.857142857142858,21.857142857142858
11/17/2020,28,1.24,23.0,23.0
11/18/2020,33,1.46,24.428571428571427,24.428571428571427
11/19/2020,27,1.19,25.5,25.5
11/20/2020,33,1.46,26.285714285714285,26.285714285714285
11/21/2020,24,1.06,26.285714285714285,26.285714285714285
11/22/2020,26,1.15,26.5,26.5
11/23/2020,34,1.5,27.0,27.0
11/24/2020,20,0.88,27.142857142857142,27.142857142857142
11/25/2020,28,1.24,27.571428571428573,27.571428571428573
11/26/2020,28,1.24,28.357142857142858,28.357142857142858
11/27/2020,33,1.46,28.357142857142858,28.357142857142858
11/28/2020,25,1.11,28.071428571428573,28.071428571428573
11/29/2020,28,1.24,28.285714285714285,28.285714285714285
11/30/2020,27,1.19,28.142857142857142,28.142857142857142
12/01/2020,31,1.37,28.357142857142858,28.357142857142858
12/02/2020,32,1.42,28.285714285714285,28.285714285714285
12/03/2020,25,1.11,28.142857142857142,28.142857142857142
12/04/2020,34,1.5,28.214285714285715,28.214285714285715
12/05/2020,26,1.15,28.357142857142858,28.357142857142858
12/06/2020,23,1.02,28.142857142857142,28.142857142857142
12/07/2020,33,1.46,28.071428571428573,28.071428571428573
12/08/2020,24,1.06,28.357142857142858,28.357142857142858
12/09/2020,43,1.9,29.428571428571427,29.428571428571427
12/10/2020,33,1.46,29.785714285714285,29.785714285714285
12/11/2020,39,1.73,30.214285714285715,30.214285714285715
12/12/2020,27,1.19,30.357142857142858,30.357142857142858
12/13/2020,36,1.59,30.928571428571427,30.928571428571427
12/14/2020,40,1.77,31.857142857142858,31.857142857142858
12/15/2020,34,1.5,32.07142857142857,32.07142857142857
12/16/2020,26,1.15,31.642857142857142,31.642857142857142
12/17/2020,24,1.06,31.571428571428573,31.571428571428573
12/18/2020,22,0.97,30.714285714285715,30.714285714285715
12/19/2020,22,0.97,30.428571428571427,30.428571428571427
12/20/2020,26,1.15,30.642857142857142,30.642857142857142
12/21/2020,33,1.46,30.642857142857142,30.642857142857142
12/22/2020,32,1.42,31.214285714285715,31.214285714285715
12/23/2020,24,1.06,29.857142857142858,29.857142857142858
12/24/2020,27,1.19,29.428571428571427,29.428571428571427
12/25/2020,33,1.46,29.0,29.0
12/26/2020,20,0.88,28.5,28.5
12/27/2020,20,0.88,27.357142857142858,27.357142857142858
12/28/2020,24,1.06,26.214285714285715,26.214285714285715
12/29/2020,22,0.97,25.357142857142858,25.357142857142858
12/30/2020,38,1.68,26.214285714285715,26.214285714285715
12/31/2020,28,1.24,26.5,26.5
01/01/2021,26,1.15,26.785714285714285,26.785714285714285
01/02/2021,18,0.8,26.5,26.5
01/03/2021,24,1.06,26.357142857142858,26.357142857142858
01/04/2021,27,1.19,25.928571428571427,25.928571428571427
01/05/2021,25,1.11,25.428571428571427,25.428571428571427
01/06/2021,25,1.11,25.5,25.5
01/07/2021,15,0.66,24.642857142857142,24.642857142857142
01/08/2021,34,1.5,24.714285714285715,24.714285714285715
01/09/2021,16,0.71,24.428571428571427,24.428571428571427
01/10/2021,24,1.06,24.714285714285715,24.714285714285715
01/11/2021,25,1.11,24.785714285714285,24.785714285714285
01/12/2021,23,1.02,24.857142857142858,24.857142857142858
01/13/2021,17,0.75,23.357142857142858,23.357142857142858
01/14/2021,19,0.84,22.714285714285715,22.714285714285715
01/15/2021,16,0.71,22.0,22.0
01/16/2021,10,0.44,21.428571428571427,21.428571428571427
01/17/2021,22,0.97,21.285714285714285,21.285714285714285
01/18/2021,11,0.49,20.142857142857142,20.142857142857142
01/19/2021,19,0.84,19.714285714285715,19.714285714285715
01/20/2021,20,0.88,19.357142857142858,19.357142857142858
01/21/2021,25,1.11,20.071428571428573,20.071428571428573
01/22/2021,19,0.84,19.0,19.0
01/23/2021,12,0.53,18.714285714285715,18.714285714285715
01/24/2021,14,0.62,18.0,18.0
01/25/2021,16,0.71,17.357142857142858,17.357142857142858
01/26/2021,9,0.4,16.357142857142858,16.357142857142858
01/27/2021,18,0.8,16.428571428571427,16.428571428571427
01/28/2021,17,0.75,16.285714285714285,16.285714285714285
01/29/2021,17,0.75,16.357142857142858,16.357142857142858
01/30/2021,19,0.84,17.0,17.0
01/31/2021,8,0.35,16.0,16.0
02/01/2021,17,0.75,16.428571428571427,16.428571428571427
02/02/2021,12,0.53,15.928571428571429,15.928571428571429
02/03/2021,15,0.66,15.571428571428571,15.571428571428571
02/04/2021,16,0.71,14.928571428571429,14.928571428571429
02/05/2021,13,0.58,14.5,14.5
02/06/2021,14,0.62,14.642857142857142,14.642857142857142
02/07/2021,10,0.44,14.357142857142858,14.357142857142858
02/08/2021,16,0.71,14.357142857142858,14.357142857142858
02/09/2021,14,0.62,14.714285714285714,14.714285714285714
02/10/2021,10,0.44,14.142857142857142,14.142857142857142
02/11/2021,7,0.31,13.428571428571429,13.428571428571429
02/12/2021,8,0.35,12.785714285714286,12.785714285714286
02/13/2021,10,0.44,12.142857142857142,12.142857142857142
02/14/2021,5,0.22,11.928571428571429,11.928571428571429
02/15/2021,10,0.44,11.428571428571429,11.428571428571429
02/16/2021,8,0.35,11.142857142857142,11.142857142857142
02/17/2021,7,0.31,10.571428571428571,10.571428571428571
