start_date	poi_geo	visitor_geo	sum_visits	category
2018-01-01	North King	North King	6618739.703851811	within North
2018-01-01	North King	South King	781096.6920415498	South to North
2018-01-01	South King	North King	594227.4115716759	North to South
2018-01-01	South King	South King	2783090.790641361	within South
2018-01-08	North King	North King	7403305.988938748	within North
2018-01-08	North King	South King	928230.5560367317	South to North
2018-01-08	South King	North King	624250.3093498904	North to South
2018-01-08	South King	South King	3126633.326307002	within South
2018-01-15	North King	North King	8113905.635127886	within North
2018-01-15	North King	South King	985068.8920884755	South to North
2018-01-15	South King	North King	649285.6681571573	North to South
2018-01-15	South King	South King	3095142.5450426275	within South
2018-01-22	North King	North King	8358422.389721695	within North
2018-01-22	North King	South King	1017050.2882169174	South to North
2018-01-22	South King	North King	665914.9746261894	North to South
2018-01-22	South King	South King	3105811.4611499296	within South
2018-01-29	North King	North King	10702203.348210337	within North
2018-01-29	North King	South King	1159334.364560318	South to North
2018-01-29	South King	North King	768319.4425541316	North to South
2018-01-29	South King	South King	3922749.9023420243	within South
2018-02-05	North King	North King	9004798.620495046	within North
2018-02-05	North King	South King	1032419.2171502502	South to North
2018-02-05	South King	North King	704520.7265281918	North to South
2018-02-05	South King	South King	3378484.920083267	within South
2018-02-12	North King	North King	7783856.648010723	within North
2018-02-12	North King	South King	932859.5145110985	South to North
2018-02-12	South King	North King	664861.2450712732	North to South
2018-02-12	South King	South King	3101572.8258254533	within South
2018-02-19	North King	North King	7462724.586433259	within North
2018-02-19	North King	South King	918105.7133479211	South to North
2018-02-19	South King	North King	707135.5689277899	North to South
2018-02-19	South King	South King	3166858.7915754924	within South
2018-02-26	North King	North King	9438736.116276953	within North
2018-02-26	North King	South King	1110228.359657902	South to North
2018-02-26	South King	North King	740162.7371940679	North to South
2018-02-26	South King	South King	3767829.228869074	within South
2018-03-05	North King	North King	7317801.227264214	within North
2018-03-05	North King	South King	877838.3551167235	South to North
2018-03-05	South King	North King	610603.6181286769	North to South
2018-03-05	South King	South King	2964899.628058605	within South
2018-03-12	North King	North King	6665963.621267012	within North
2018-03-12	North King	South King	796911.4084500147	South to North
2018-03-12	South King	North King	572081.9636247919	North to South
2018-03-12	South King	South King	2755393.819788505	within South
2018-03-19	North King	North King	8184671.646215712	within North
2018-03-19	North King	South King	971672.8466589901	South to North
2018-03-19	South King	North King	734663.3895406219	North to South
2018-03-19	South King	South King	3407530.1253463086	within South
2018-03-26	North King	North King	10248803.95276949	within North
2018-03-26	North King	South King	1287535.5899384557	South to North
2018-03-26	South King	North King	745615.794619545	North to South
2018-03-26	South King	South King	4769959.31811824	within South
2018-04-02	North King	North King	6407954.050494725	within North
2018-04-02	North King	South King	905227.6551199718	South to North
2018-04-02	South King	North King	557333.6684317142	North to South
2018-04-02	South King	South King	3070656.735335226	within South
2018-04-09	North King	North King	5907314.564972193	within North
2018-04-09	North King	South King	862053.4657007398	South to North
2018-04-09	South King	North King	557399.8210608803	North to South
2018-04-09	South King	South King	2977750.9365655486	within South
2018-04-16	North King	North King	7236553.310260157	within North
2018-04-16	North King	South King	983258.2417591233	South to North
2018-04-16	South King	North King	605555.9793659818	North to South
2018-04-16	South King	South King	3310850.757710726	within South
2018-04-23	North King	North King	7649069.503532215	within North
2018-04-23	North King	South King	1003430.8028357201	South to North
2018-04-23	South King	North King	605868.4988806368	North to South
2018-04-23	South King	South King	3373299.371994599	within South
2018-04-30	North King	North King	9346562.85619562	within North
2018-04-30	North King	South King	1236930.7546060637	South to North
2018-04-30	South King	North King	712256.0916743872	North to South
2018-04-30	South King	South King	4256134.084164441	within South
2018-05-07	North King	North King	7054454.200219521	within North
2018-05-07	North King	South King	944297.366222024	South to North
2018-05-07	South King	North King	552698.1151417914	North to South
2018-05-07	South King	South King	3123686.0235826652	within South
2018-05-14	North King	North King	7015096.51119255	within North
2018-05-14	North King	South King	938776.4845386768	South to North
2018-05-14	South King	North King	525920.8399603636	North to South
2018-05-14	South King	South King	3092979.864943849	within South
2018-05-21	North King	North King	6782914.73173086	within North
2018-05-21	North King	South King	997605.7056087808	South to North
2018-05-21	South King	North King	520876.26823215286	North to South
2018-05-21	South King	South King	3150480.711708864	within South
2018-05-28	North King	North King	8334989.31966398	within North
2018-05-28	North King	South King	1164165.4301947993	South to North
2018-05-28	South King	North King	653601.1263115695	North to South
2018-05-28	South King	South King	4177707.6110647446	within South
2018-06-04	North King	North King	6530301.082341344	within North
2018-06-04	North King	South King	953418.3292606679	South to North
2018-06-04	South King	North King	536444.3925312225	North to South
2018-06-04	South King	South King	3250328.136760245	within South
2018-06-11	North King	North King	6461584.2801218	within North
2018-06-11	North King	South King	1008618.4345855027	South to North
2018-06-11	South King	North King	559615.3047143222	North to South
2018-06-11	South King	South King	3312722.5212935675	within South
2018-06-18	North King	North King	6823739.887971275	within North
2018-06-18	North King	South King	1029019.7025108468	South to North
2018-06-18	South King	North King	574249.0940976846	North to South
2018-06-18	South King	South King	3505165.658622937	within South
2018-06-25	North King	North King	7709260.104059264	within North
2018-06-25	North King	South King	1222606.5456016716	South to North
2018-06-25	South King	North King	664995.8985316744	North to South
2018-06-25	South King	South King	4102394.3263139906	within South
2018-07-02	North King	North King	6069190.144438562	within North
2018-07-02	North King	South King	1008609.2809336332	South to North
2018-07-02	South King	North King	560624.0122047244	North to South
2018-07-02	South King	South King	3338979.169440217	within South
2018-07-09	North King	North King	6444025.6123315655	within North
2018-07-09	North King	South King	1036719.4678672903	South to North
2018-07-09	South King	North King	577877.8805889783	North to South
2018-07-09	South King	South King	3387067.354548564	within South
2018-07-16	North King	North King	6239205.280425459	within North
2018-07-16	North King	South King	1062684.5579360055	South to North
2018-07-16	South King	North King	555105.3504781997	North to South
2018-07-16	South King	South King	3273065.225407876	within South
2018-07-23	North King	North King	6616279.906611075	within North
2018-07-23	North King	South King	1062859.44957891	South to North
2018-07-23	South King	North King	610858.9642584199	North to South
2018-07-23	South King	South King	3466162.9415127467	within South
2018-07-30	North King	North King	7568126.827006535	within North
2018-07-30	North King	South King	1214041.499808081	South to North
2018-07-30	South King	North King	696929.3139912891	North to South
2018-07-30	South King	South King	4003458.8016027203	within South
2018-08-06	North King	North King	6295947.478190078	within North
2018-08-06	North King	South King	1031716.0326470406	South to North
2018-08-06	South King	North King	588234.9730098317	North to South
2018-08-06	South King	South King	3338055.9734377507	within South
2018-08-13	North King	North King	6114005.886565786	within North
2018-08-13	North King	South King	955437.2588002037	South to North
2018-08-13	South King	North King	554017.4220616206	North to South
2018-08-13	South King	South King	3149599.649226901	within South
2018-08-20	North King	North King	6908911.756445856	within North
2018-08-20	North King	South King	1041683.8403411346	South to North
2018-08-20	South King	North King	619958.85898453	North to South
2018-08-20	South King	South King	3674444.3895279644	within South
2018-08-27	North King	North King	8728048.385071458	within North
2018-08-27	North King	South King	1287734.660711909	South to North
2018-08-27	South King	North King	740719.5970385063	North to South
2018-08-27	South King	South King	4712823.123585905	within South
2018-09-03	North King	North King	6845816.916306492	within North
2018-09-03	North King	South King	992476.8438196608	South to North
2018-09-03	South King	North King	572829.4594488047	North to South
2018-09-03	South King	South King	3659094.859144178	within South
2018-09-10	North King	North King	5460373.663183281	within North
2018-09-10	North King	South King	855617.1940101364	South to North
2018-09-10	South King	North King	441034.34826663946	North to South
2018-09-10	South King	South King	2915500.167808132	within South
2018-09-17	North King	North King	7039184.84410151	within North
2018-09-17	North King	South King	1072199.441766534	South to North
2018-09-17	South King	North King	571952.9543846329	North to South
2018-09-17	South King	South King	3728110.417223078	within South
2018-09-24	North King	North King	9309553.695769226	within North
2018-09-24	North King	South King	1384878.0606483798	South to North
2018-09-24	South King	North King	709220.5878969632	North to South
2018-09-24	South King	South King	4866774.637917952	within South
2018-10-01	North King	North King	6380399.073137211	within North
2018-10-01	North King	South King	1012650.3576513883	South to North
2018-10-01	South King	North King	514627.195111769	North to South
2018-10-01	South King	South King	3497117.375763084	within South
2018-10-08	North King	North King	6678452.678907576	within North
2018-10-08	North King	South King	994226.8174664404	South to North
2018-10-08	South King	North King	554205.6126369388	North to South
2018-10-08	South King	South King	3619346.6476623984	within South
2018-10-15	North King	North King	6661440.378990691	within North
2018-10-15	North King	South King	1025213.8636048925	South to North
2018-10-15	South King	North King	538169.3781444726	North to South
2018-10-15	South King	South King	3647468.1899761516	within South
2018-10-22	North King	North King	6877051.724731183	within North
2018-10-22	North King	South King	1084030.034408602	South to North
2018-10-22	South King	North King	573793.8397849462	North to South
2018-10-22	South King	South King	3723790.8967741933	within South
2018-10-29	North King	North King	8710622.718454259	within North
2018-10-29	North King	South King	1326210.1940063091	South to North
2018-10-29	South King	North King	715375.7133280757	North to South
2018-10-29	South King	South King	4837233.0315457415	within South
2018-11-05	North King	North King	6386906.31949936	within North
2018-11-05	North King	South King	1041230.5190551238	South to North
2018-11-05	South King	North King	545881.031087271	North to South
2018-11-05	South King	South King	3577867.1951840688	within South
2018-11-12	North King	North King	6226620.486559622	within North
2018-11-12	North King	South King	981828.0213744921	South to North
2018-11-12	South King	North King	544869.6785529082	North to South
2018-11-12	South King	South King	3415995.6765603446	within South
2018-11-19	North King	North King	6225127.399752983	within North
2018-11-19	North King	South King	939264.7222908377	South to North
2018-11-19	South King	North King	635679.7019349526	North to South
2018-11-19	South King	South King	3749475.962353048	within South
2018-11-26	North King	North King	8475070.164662762	within North
2018-11-26	North King	South King	1283435.117416754	South to North
2018-11-26	South King	North King	662946.083963585	North to South
2018-11-26	South King	South King	4577245.059980019	within South
2018-12-03	North King	North King	6665976.112881292	within North
2018-12-03	North King	South King	1042465.6615504177	South to North
2018-12-03	South King	North King	556057.5570235088	North to South
2018-12-03	South King	South King	3580141.1871381393	within South
2018-12-10	North King	North King	6539647.277624066	within North
2018-12-10	North King	South King	1031080.3840160504	South to North
2018-12-10	South King	North King	553824.3296985552	North to South
2018-12-10	South King	South King	3508553.0659823217	within South
2018-12-17	North King	North King	6807119.452850133	within North
2018-12-17	North King	South King	1048500.9297557784	South to North
2018-12-17	South King	North King	609728.6813428546	North to South
2018-12-17	South King	South King	3926640.6350088194	within South
2018-12-24	North King	North King	5111945.373045992	within North
2018-12-24	North King	South King	893469.4120944119	South to North
2018-12-24	South King	North King	571426.0036831795	North to South
2018-12-24	South King	South King	3322221.738654725	within South
2018-12-31	North King	North King	6936292.164702228	within North
2018-12-31	North King	South King	1078844.4606038593	South to North
2018-12-31	South King	North King	689121.5574617533	North to South
2018-12-31	South King	South King	4226051.494069238	within South
2019-01-07	North King	North King	6127660.506981148	within North
2019-01-07	North King	South King	967144.6062571664	South to North
2019-01-07	South King	North King	515434.1656929868	North to South
2019-01-07	South King	South King	3368026.951466269	within South
2019-01-14	North King	North King	6031501.357362533	within North
2019-01-14	North King	South King	948448.7396329717	South to North
2019-01-14	South King	North King	522361.55331373145	North to South
2019-01-14	South King	South King	3294408.235932273	within South
2019-01-21	North King	North King	6641254.629166979	within North
2019-01-21	North King	South King	1014929.5113439584	South to North
2019-01-21	South King	North King	559123.9283337521	North to South
2019-01-21	South King	South King	3530948.4056831836	within South
2019-01-28	North King	North King	8188216.918977025	within North
2019-01-28	North King	South King	1201647.5569451274	South to North
2019-01-28	South King	North King	676689.1496100611	North to South
2019-01-28	South King	South King	4432265.778440948	within South
2019-02-04	North King	North King	5114552.014687255	within North
2019-02-04	North King	South King	685293.496916357	South to North
2019-02-04	South King	North King	398376.140693435	North to South
2019-02-04	South King	South King	2882604.50350387	within South
2019-02-11	North King	North King	5325394.626929298	within North
2019-02-11	North King	South King	783579.6382669952	South to North
2019-02-11	South King	North King	498488.80058049015	North to South
2019-02-11	South King	South King	3145829.9330924703	within South
2019-02-18	North King	North King	5843080.760076639	within North
2019-02-18	North King	South King	954818.905974569	South to North
2019-02-18	South King	North King	580603.7876676538	North to South
2019-02-18	South King	South King	3359471.187110259	within South
2019-02-25	North King	North King	7800435.1170382155	within North
2019-02-25	North King	South King	1184528.3332006368	South to North
2019-02-25	South King	North King	650249.2097929936	North to South
2019-02-25	South King	South King	4291369.2022293005	within South
2019-03-04	North King	North King	6326982.93038822	within North
2019-03-04	North King	South King	972287.5143239626	South to North
2019-03-04	South King	North King	531496.0635876841	North to South
2019-03-04	South King	South King	3390686.7831325303	within South
2019-03-11	North King	North King	6455654.798162489	within North
2019-03-11	North King	South King	1006787.0615494633	South to North
2019-03-11	South King	North King	547170.2914027921	North to South
2019-03-11	South King	South King	3477064.7329462525	within South
2019-03-18	North King	North King	6546597.824412184	within North
2019-03-18	North King	South King	980565.2039398876	South to North
2019-03-18	South King	North King	576344.7903026921	North to South
2019-03-18	South King	South King	3568667.9065941814	within South
2019-03-25	North King	North King	8219249.980182278	within North
2019-03-25	North King	South King	1233019.9174657243	South to North
2019-03-25	South King	North King	697917.5889830784	North to South
2019-03-25	South King	South King	4395343.743448808	within South
2019-04-01	North King	North King	6421703.244732189	within North
2019-04-01	North King	South King	1008814.4597021469	South to North
2019-04-01	South King	North King	578078.2736117641	North to South
2019-04-01	South King	South King	3572518.459289665	within South
2019-04-08	North King	North King	5859488.6121372385	within North
2019-04-08	North King	South King	991386.173040403	South to North
2019-04-08	South King	North King	604431.7363658468	North to South
2019-04-08	South King	South King	3410566.2484295224	within South
2019-04-15	North King	North King	6721331.174394738	within North
2019-04-15	North King	South King	1024940.9746790063	South to North
2019-04-15	South King	North King	561393.3959224983	North to South
2019-04-15	South King	South King	3654408.3941140827	within South
2019-04-22	North King	North King	6645116.209217869	within North
2019-04-22	North King	South King	1070612.9514451572	South to North
2019-04-22	South King	North King	585405.0358771647	North to South
2019-04-22	South King	South King	3511394.529172262	within South
2019-04-29	North King	North King	8422344.949429033	within North
2019-04-29	North King	South King	1254107.7110901673	South to North
2019-04-29	South King	North King	716776.0373168676	North to South
2019-04-29	South King	South King	4609521.794635113	within South
2019-05-06	North King	North King	6899100.85657888	within North
2019-05-06	North King	South King	1050313.4424069065	South to North
2019-05-06	South King	North King	580532.9204433457	North to South
2019-05-06	South King	South King	3781178.7060770066	within South
2019-05-13	North King	North King	6531099.357366206	within North
2019-05-13	North King	South King	994759.991733458	South to North
2019-05-13	South King	North King	548033.8062394422	North to South
2019-05-13	South King	South King	3483238.9551809654	within South
2019-05-20	North King	North King	6774334.76517561	within North
2019-05-20	North King	South King	1053121.9755170404	South to North
2019-05-20	South King	North King	583690.4785154657	North to South
2019-05-20	South King	South King	3739617.1715093115	within South
2019-05-27	North King	North King	8468383.056532215	within North
2019-05-27	North King	South King	1227077.5109165662	South to North
2019-05-27	South King	North King	709143.8727582052	North to South
2019-05-27	South King	South King	4518700.481852979	within South
2019-06-03	North King	North King	6993013.376320617	within North
2019-06-03	North King	South King	1052651.8126346932	South to North
2019-06-03	South King	North King	633312.320105483	North to South
2019-06-03	South King	South King	3813479.251250671	within South
2019-06-10	North King	North King	6839470.289287405	within North
2019-06-10	North King	South King	1036657.8994231109	South to North
2019-06-10	South King	North King	605602.4917566929	North to South
2019-06-10	South King	South King	3778348.091695759	within South
2019-06-17	North King	North King	6989984.440787139	within North
2019-06-17	North King	South King	1071023.2483781422	South to North
2019-06-17	South King	North King	648257.1011588448	North to South
2019-06-17	South King	South King	3832946.493696291	within South
2019-06-24	North King	North King	8415449.78936721	within North
2019-06-24	North King	South King	1264804.68820134	South to North
2019-06-24	South King	North King	740028.6432764377	North to South
2019-06-24	South King	South King	4587765.122293755	within South
2019-07-01	North King	North King	6040050.120486761	within North
2019-07-01	North King	South King	967412.4590799678	South to North
2019-07-01	South King	North King	590639.2028617277	North to South
2019-07-01	South King	South King	3524747.3943567798	within South
2019-07-08	North King	North King	6704178.230623677	within North
2019-07-08	North King	South King	1078282.9724056837	South to North
2019-07-08	South King	North King	645252.6697145655	North to South
2019-07-08	South King	South King	3698239.447902089	within South
2019-07-15	North King	North King	6517376.7457637545	within North
2019-07-15	North King	South King	1110096.9791857318	South to North
2019-07-15	South King	North King	617110.2814440398	North to South
2019-07-15	South King	South King	3600916.8294538185	within South
2019-07-22	North King	North King	6990425.308650186	within North
2019-07-22	North King	South King	1135919.1656754434	South to North
2019-07-22	South King	North King	711027.3160255635	North to South
2019-07-22	South King	South King	3887788.569607408	within South
2019-07-29	North King	North King	8301994.607234079	within North
2019-07-29	North King	South King	1325256.2088122603	South to North
2019-07-29	South King	North King	782671.1701331873	North to South
2019-07-29	South King	South King	4683950.576172232	within South
2019-08-05	North King	North King	6272109.668320658	within North
2019-08-05	North King	South King	1086102.5205760554	South to North
2019-08-05	South King	North King	604991.4847649692	North to South
2019-08-05	South King	South King	3567921.872305619	within South
2019-08-12	North King	North King	6012344.486247507	within North
2019-08-12	North King	South King	1035758.4279685856	South to North
2019-08-12	South King	North King	591188.9475943601	North to South
2019-08-12	South King	South King	3316064.5322314412	within South
2019-08-19	North King	North King	6472494.107121875	within North
2019-08-19	North King	South King	1090362.8040668452	South to North
2019-08-19	South King	North King	629878.4402049743	North to South
2019-08-19	South King	South King	3654478.9267249824	within South
2019-08-26	North King	North King	8838019.863066271	within North
2019-08-26	North King	South King	1552767.7065297547	South to North
2019-08-26	South King	North King	851207.5751327336	North to South
2019-08-26	South King	South King	4638322.050647692	within South
2019-09-02	North King	North King	6329744.109079133	within North
2019-09-02	North King	South King	1103649.090745923	South to North
2019-09-02	South King	North King	648343.5657507629	North to South
2019-09-02	South King	South King	3351676.8975051437	within South
2019-09-09	North King	North King	6152460.613599246	within North
2019-09-09	North King	South King	1031359.5731271347	South to North
2019-09-09	South King	North King	579452.5533454157	North to South
2019-09-09	South King	South King	3268050.9788216613	within South
2019-09-16	North King	North King	6351893.4415023355	within North
2019-09-16	North King	South King	1091824.2446554794	South to North
2019-09-16	South King	North King	588854.5582634817	North to South
2019-09-16	South King	South King	3363981.296434474	within South
2019-09-23	North King	North King	6544412.420229029	within North
2019-09-23	North King	South King	1073286.4427805701	South to North
2019-09-23	South King	North King	560646.5026052012	North to South
2019-09-23	South King	South King	3479007.082243754	within South
2019-09-30	North King	North King	8039363.440119065	within North
2019-09-30	North King	South King	1265374.7960310895	South to North
2019-09-30	South King	North King	700024.771357698	North to South
2019-09-30	South King	South King	4280742.83221432	within South
2019-10-07	North King	North King	6611043.454827612	within North
2019-10-07	North King	South King	1004899.9791823479	South to North
2019-10-07	South King	North King	556296.1503627045	North to South
2019-10-07	South King	South King	3716024.4878503713	within South
2019-10-14	North King	North King	6795870.736549483	within North
2019-10-14	North King	South King	1046116.9396263981	South to North
2019-10-14	South King	North King	576518.7415692322	North to South
2019-10-14	South King	South King	3802244.156594639	within South
2019-10-21	North King	North King	7132288.293510761	within North
2019-10-21	North King	South King	1104432.5868881685	South to North
2019-10-21	South King	North King	588825.8420537331	North to South
2019-10-21	South King	South King	4095112.0407174244	within South
2019-10-28	North King	North King	8634508.8110147	within North
2019-10-28	North King	South King	1222273.209670717	South to North
2019-10-28	South King	North King	662416.2562235616	North to South
2019-10-28	South King	South King	4830429.566604274	within South
2019-11-04	North King	North King	6851716.073673115	within North
2019-11-04	North King	South King	1024630.2698960128	South to North
2019-11-04	South King	North King	569252.042578436	North to South
2019-11-04	South King	South King	3963230.092490987	within South
2019-11-11	North King	North King	6615487.47709266	within North
2019-11-11	North King	South King	964655.0974365853	South to North
2019-11-11	South King	North King	560440.5625520137	North to South
2019-11-11	South King	South King	3726188.0735735684	within South
2019-11-18	North King	North King	7161516.371799733	within North
2019-11-18	North King	South King	1037866.1187877649	South to North
2019-11-18	South King	North King	594862.0202307581	North to South
2019-11-18	South King	South King	4006402.348760825	within South
2019-11-25	North King	North King	7787817.636264292	within North
2019-11-25	North King	South King	1082195.9693506423	South to North
2019-11-25	South King	North King	722795.0939205397	North to South
2019-11-25	South King	South King	4776270.171692565	within South
2019-12-02	North King	North King	6792949.467194432	within North
2019-12-02	North King	South King	1018921.602505885	South to North
2019-12-02	South King	North King	558393.0550788197	North to South
2019-12-02	South King	South King	3936252.4955165735	within South
2019-12-09	North King	North King	6896533.763219355	within North
2019-12-09	North King	South King	1042909.455445221	South to North
2019-12-09	South King	North King	588552.7250350615	North to South
2019-12-09	South King	South King	4014928.7577491747	within South
2019-12-16	North King	North King	6401557.144763408	within North
2019-12-16	North King	South King	977220.450404377	South to North
2019-12-16	South King	North King	591138.9604934906	North to South
2019-12-16	South King	South King	3925382.709785686	within South
2019-12-23	North King	North King	5393577.661701483	within North
2019-12-23	North King	South King	909905.2890301603	South to North
2019-12-23	South King	North King	600636.7402655265	North to South
2019-12-23	South King	South King	3713020.2165274085	within South
2019-12-30	North King	North King	7180967.384353884	within North
2019-12-30	North King	South King	1165398.802532614	South to North
2019-12-30	South King	North King	720097.9785832661	North to South
2019-12-30	South King	South King	4601533.114647515	within South
2020-01-06	North King	North King	6156223.254283921	within North
2020-01-06	North King	South King	958961.2637573141	South to North
2020-01-06	South King	North King	536961.1841738645	North to South
2020-01-06	South King	South King	3678775.748154081	within South
2020-01-13	North King	North King	5773169.720885396	within North
2020-01-13	North King	South King	911490.2454117386	South to North
2020-01-13	South King	North King	565867.1482332876	North to South
2020-01-13	South King	South King	3700864.537614476	within South
2020-01-20	North King	North King	6626473.730082369	within North
2020-01-20	North King	South King	1032897.4527841845	South to North
2020-01-20	South King	North King	609328.2959472816	North to South
2020-01-20	South King	South King	3965537.9284349247	within South
2020-01-27	North King	North King	8428189.978115723	within North
2020-01-27	North King	South King	1303175.2933976264	South to North
2020-01-27	South King	North King	734514.012611276	North to South
2020-01-27	South King	South King	5043837.181750742	within South
2020-02-03	North King	North King	5876076.0319662085	within North
2020-02-03	North King	South King	924261.8319725102	South to North
2020-02-03	South King	North King	547425.5176381577	North to South
2020-02-03	South King	South King	3542412.7762050387	within South
2020-02-10	North King	North King	5812663.247686243	within North
2020-02-10	North King	South King	933414.7870188367	South to North
2020-02-10	South King	North King	615028.5841875336	North to South
